"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
626,"Beginner","Beginner",2,1,"1",625,1
604,"Pyp V","Pyp V",2,84,"1",467,107
612,"Year Vi","Year 6",2,85,"1",467,107
614,"Year Vii","Year 7",2,86,"1",467,107
616,"Year Viii","Year 8",2,87,"1",467,107
497,"The Advanced Placement Program","The Advanced Placement Program",2,98,"1",467,107
360,"Class 1","Class 1",2,1,"1",108,107
368,"Evs","EVS",3,57,"1",354,107
108,"Cbse","CBSE",1,1,"1",107,107
625,"Telagu","Telugu",1,19,"1",1,1
370,"Evs","EVS",3,57,"1",358,107
464,"Civics","Civics",3,102,"1",154,107
465,"Civics","Civics",3,102,"1",156,107
466,"Civics","Civics",3,102,"1",158,107
395,"History","History",3,67,"1",377,107
7,"Ssc   Government Exams","SSC Government Exams",1,1,"1",6,6
209,"Ce Ssc   Government Exams Ssc Tier 1","Ce Ssc   Government Exams Ssc Tier 1",3,14,"1",8,6
565,"Cambridge Aice Diploma","Cambridge Aice Diploma",2,75,"1",515,107
20,"Ca Foundation   Fundamentals Of Accounting","Fundamentals Of Accounting",3,224,"1",19,6
273,"Psat","PSAT",1,1,"1",29,29
274,"Psat   English","English",3,275,"1",273,29
44,"B2  B2","B2",2,15,"1",38,1
85,"Hsk Level V","Hsk Level V",2,50,"1",80,1
86,"Hsk Level Vi","Hsk Level Vi",2,51,"1",80,1
98,"Level A2: Ciple   Certificado Inicial De Portugues Lingua Estrangeira","Level A2: Ciple   Certificado Inicial De Portugues Lingua Estrangeira",2,53,"1",96,1
627,"Bengali","Bengali",1,122,"4",1,1
628,"Intermediate ","Intermediate",2,2,"6",625,1
629,"Intermediate","Intermediate Test",2,3,"6",625,1
